Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Nombre de tabla,Nombre columna,Tipo de dato,Formato,Comentario,Archivo de origen
Booking,booking_id,Text,CNR9999999,ID del booking,ncr_ride_bookings.csv
,date,Text,,Fecha de registro del booking,
,time,Text,,Tiempo de registro del booking,
,booking_value,Int,,Valor de venta,
,customer_id,Text,CID9999999,ID del pasajero,
,booking_status_id,Int,,ID del estado del booking,
,pickup_location_id,Int,,Lugar de recepción del pasajero,
,drop_location_id,Int,,Lugar de bajada del pasajero,
,vehicle_type_id,Int,,ID del tipo de vehículo,
,payment_method_id,Int,,ID del método de pago,
Payment Method,payment_method_id,Int,,ID del método de pago,
,name,Int,,Nombre del método de pago,
Customer,customer_id,Text,,ID del pasajero,
Booking Status,booking_status_id,Int,,ID del estado del booking,
,name,Text,,Nombre del estado del booking,
Vehicle Type,vehicle_type_id,Int,,ID del tipo de vehículo,
,name,Text,,Tipo de vehículo,
Location,location_id,Int,,ID de lugar,
,name,Text,,Nombre de lugar,
Ride,ride_id,Int,,ID de viaje,
,avg_vtat,Double,,Tiempo promedio de llegada de vehículo (minutos),
,avg_ctat,Double,,Tiempo promedio duración del viaje (minutos),
,ride_distance,Double,,Distancia del viaje,
,driver_rating,Double,,Rating del pasajero hacia el conductor,
,customer_rating,Double,,Rating del conductor hacia el pasajero,
,booking_id,Text,CNR9999999,ID del booking,
Cancelled Ride,cancellation_id,Int,,ID de la cancelación,
,ride_cancelled_by,Text,,Actor que motivó la cancelación del viaje,
,cancellation_reason,Text,,Razon del cancelamiento,
,booking_id,Text,CNR9999999,ID del booking,
Incompleted Ride,incompleted_id,Int,,ID de la incompletitud,
,incompletion_reason,Text,,Razon de la incompletitud,
,booking_id,Text,CNR9999999,ID del booking,
